text,label
刚看完这部国产片，反转精彩，主演演技炸裂，强烈推荐！,积极
这次航班太坑了，取消不通知，耽误了整个行程。,消极
那个民宿住了一晚就受不了，隔音差，要求换房也不管。,消极
快递小哥态度特别好，很有耐心，问题很快就解决了。,积极
筋膜枪 advertised得很好，实际效果微乎其微，非常失望。,消极
物业效率低下，没人引导，等了一上午没办成。,消极
在淘宝买的零食到了，商品质量超出预期，客服也很耐心。,积极
洗面奶用了半个月，设计人性化，完全值这个价，会回购的。,积极
外卖麻辣烫，少送了东西，投诉也没用，差评。,消极
热门商圈体验很差，设施老旧，完全不是想象的那样。,消极
新开的奶茶店的寿司太正宗了，服务周到，下次还要带朋友来。,积极
这部烂片看得我如坐针毡，广告植入生硬，浪费两小时。,消极
楼下新开的店体验极差，食材不新鲜，绝对不会再来。,消极
这家快捷酒店住了一晚就受不了，空调坏了，要求换房也不管。,消极
高铁一等座体验不错，座位宽敞，全程很舒适。,积极
那家民宿体验很差，人山人海，完全不是想象的那样。,消极
那部注水剧看得我如坐针毡，演员演技尴尬，浪费两小时。,消极
网约车体验不错，司机专业，全程很舒适。,积极
这次航班体验不错，座位宽敞，全程很舒适。,积极
这部烂片看得我如坐针毡，演员演技尴尬，浪费两小时。,消极
翻拍的电影看得我如坐针毡，剧情逻辑混乱，浪费两小时。,消极
招牌烤鱼太难吃了，肉很柴，价格还贵，避雷。,消极
筋膜枪用了半个月，设计人性化，完全值这个价，会回购的。,积极
那个蓝牙音箱买了就后悔，发热严重，已经申请退货。,消极
刚看完这部国产片，剧情紧凑，男一号演技炸裂，强烈推荐！,积极
营业厅效率低下，没人引导，等了一上午没办成。,消极
这款充电宝买了就后悔，充电慢得要死，已经申请退货。,消极
那家民宿体验很差，宰客严重，完全不是想象的那样。,消极
医院护士效率很高，超出预期，必须给个五星好评。,积极
在拼多多买的玩具到了，商品质量超出预期，客服也很耐心。,积极
推荐牛排太难吃了，肉很柴，价格还贵，避雷。,消极
网约车体验不错，沿途风景好，全程很舒适。,积极
那家民宿体验很差，设施老旧，完全不是想象的那样。,消极
智能手表用了一个月屏幕出现条纹，售后还不给修。,消极
快递驿站态度恶劣，爱答不理，投诉无门。,消极
九寨沟太美了，空气清新，这次旅行超值，推荐给大家。,积极
维修师傅效率很高，沟通顺畅，必须给个五星好评。,积极
那个蓝牙音箱买了就后悔，充电慢得要死，已经申请退货。,消极
空气炸锅 advertised得很好，实际噪音巨大，非常失望。,消极
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
技术支持态度特别好，主动跟进，问题很快就解决了。,积极
楼下新开的店体验极差，排队两小时味道一般，绝对不会再来。,消极
银行柜员效率很高，流程清晰，必须给个五星好评。,积极
洗面奶用了半个月，续航持久，完全值这个价，会回购的。,积极
那部注水剧看得我如坐针毡，广告植入生硬，浪费两小时。,消极
那家快餐连锁体验极差，食材不新鲜，绝对不会再来。,消极
在天猫买的书籍到了，价格实惠超出预期，客服也很耐心。,积极
空气炸锅 advertised得很好，实际噪音巨大，非常失望。,消极
医院护士效率很高，超出预期，必须给个五星好评。,积极
医院护士效率很高，设身处地，必须给个五星好评。,积极
楼下新开的店体验极差，食材不新鲜，绝对不会再来。,消极
物业管家效率很高，流程清晰，必须给个五星好评。,积极
经典翻唱这首歌太好听了，歌词走心，已经单曲循环一整天。,积极
今天打卡了私房菜馆，招牌面值得一试，食材新鲜，体验很棒。,积极
这家火锅店的火锅太正宗了，分量足，下次还要带朋友来。,积极
外卖点了沙拉轻食，味道不错，配送也准时，好评！,积极
今天打卡了私房菜馆，特色烤鱼值得一试，上菜快，体验很棒。,积极
维修师傅效率很高，沟通顺畅，必须给个五星好评。,积极
银行柜员效率很高，超出预期，必须给个五星好评。,积极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
那家民宿体验很差，人山人海，完全不是想象的那样。,消极
厦门鼓浪屿太美了，人文气息浓，这次旅行超值，推荐给大家。,积极
政务大厅效率低下，没人引导，等了一上午没办成。,消极
楼下新开的店体验极差，排队两小时味道一般，绝对不会再来。,消极
智能手表用了一个月屏幕出现条纹，售后还不给修。,消极
医院挂号处态度恶劣， rude，投诉无门。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
洗面奶用了半个月，非常便携，完全值这个价，会回购的。,积极
在某宝买的数码配件，功能缺陷，退货流程还特别麻烦。,消极
这次航班体验不错，司机专业，全程很舒适。,积极
这家快捷酒店住了一晚就受不了，空调坏了，要求换房也不管。,消极
这家网红店体验极差，排队两小时味道一般，绝对不会再来。,消极
无线耳机用了一个月电池鼓包，售后还不给修。,消极
无线耳机用了一个月充不进电，售后还不给修。,消极
这家火锅店的小龙虾太正宗了，环境好，下次还要带朋友来。,积极
那部续集越来越难看，嘉宾尬聊，果断弃了。,消极
外卖点了沙拉轻食，味道不错，配送也准时，好评！,积极
景区旅馆住了一晚就受不了，床单有污渍，要求换房也不管。,消极
那个民宿住了一晚就受不了，WiFi连不上，要求换房也不管。,消极
厦门鼓浪屿太美了，空气清新，这次旅行超值，推荐给大家。,积极
热门商圈体验很差，宰客严重，完全不是想象的那样。,消极
那个蓝牙音箱买了就后悔，经常断连，已经申请退货。,消极
今天打卡了私房菜馆，手工包子值得一试，摆盘精致，体验很棒。,积极
某网红景点体验很差，设施老旧，完全不是想象的那样。,消极
网红面膜质量太差，严重掉色，完全不值这个价，踩雷了。,消极
人气奶茶太难吃了，甜到发腻，价格还贵，避雷。,消极
今天打卡了私房菜馆，创意甜品值得一试，摆盘精致，体验很棒。,积极
这家火锅店的小龙虾太正宗了，味道正宗，下次还要带朋友来。,积极
这部综艺更新了，笑点密集，每一集都追得停不下来。,积极
医院挂号处态度恶劣， rude，投诉无门。,消极
医院护士效率很高，设身处地，必须给个五星好评。,积极
厦门鼓浪屿太美了，美食众多，这次旅行超值，推荐给大家。,积极
在天猫买的家居用品到了，商品质量超出预期，客服也很耐心。,积极
银行柜台态度恶劣，爱答不理，投诉无门。,消极
这家火锅店的小龙虾太正宗了，分量足，下次还要带朋友来。,积极
新入手的平板电脑，响应速度快，生产力直接翻倍。,积极
高铁一等座体验不错，准点率高，全程很舒适。,积极
物业管家效率很高，沟通顺畅，必须给个五星好评。,积极
这款包包性价比超高，续航都很满意，强烈推荐！,积极
医院挂号处态度恶劣，流程繁琐，投诉无门。,消极
这款护肤品性价比超高，包装都很满意，强烈推荐！,积极
经典翻唱这首歌太好听了，编曲高级，已经单曲循环一整天。,积极
新入手的机械键盘，续航持久，生产力直接翻倍。,积极
入住了海景房，房间干净，前台态度很好，下次还会选择。,积极
银行柜台态度恶劣， rude，投诉无门。,消极
这款手机壳质量太差，充电发烫，完全不值这个价，踩雷了。,消极
无线鼠标用了三个月，功能丰富，在同价位里算是天花板了。,积极
外卖炒饭，冷掉了，投诉也没用，差评。,消极
新开的奶茶店的牛排太正宗了，环境好，下次还要带朋友来。,积极
筋膜枪 advertised得很好，实际操作复杂，非常失望。,消极
洗面奶用了半个月，设计人性化，完全值这个价，会回购的。,积极
维修师傅效率很高，流程清晰，必须给个五星好评。,积极
新入手的机械键盘，多设备切换流畅，生产力直接翻倍。,积极
现场Live版这首歌太好听了，嗓音独特，已经单曲循环一整天。,积极
筋膜枪 advertised得很好，实际噪音巨大，非常失望。,消极
入住了海景房，位置便利，前台态度很好，下次还会选择。,积极
快递驿站态度恶劣，流程繁琐，投诉无门。,消极
那个民宿住了一晚就受不了，隔音差，要求换房也不管。,消极
经典翻唱这首歌太好听了，嗓音独特，已经单曲循环一整天。,积极
网红路由器买了就后悔，App闪退，已经申请退货。,消极
美容仪 advertised得很好，实际效果微乎其微，非常失望。,消极
网红面膜质量太差，用了两天就坏，完全不值这个价，踩雷了。,消极
网红面膜质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
这款手机壳质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
新入手的4K显示器，多设备切换流畅，生产力直接翻倍。,积极
维修师傅效率很高，沟通顺畅，必须给个五星好评。,积极
那部纪录片更新了，信息量很大，每一集都追得停不下来。,积极
刚看完这部国产片，配乐出色，反派演技炸裂，强烈推荐！,积极
那部纪录片更新了，笑点密集，每一集都追得停不下来。,积极
政务大厅效率低下，材料要求变来变去，等了一上午没办成。,消极
今天打卡了深夜食堂，手工包子值得一试，食材新鲜，体验很棒。,积极
招牌烤鱼太难吃了，肉很柴，价格还贵，避雷。,消极
这次航班体验不错，沿途风景好，全程很舒适。,积极
这家快捷酒店住了一晚就受不了，WiFi连不上，要求换房也不管。,消极
政务大厅效率低下，没人引导，等了一上午没办成。,消极
翻拍的电影看得我如坐针毡，剧情逻辑混乱，浪费两小时。,消极
新入手的机械键盘，多设备切换流畅，生产力直接翻倍。,积极
预约的专车太坑了，取消不通知，耽误了整个行程。,消极
旅游大巴体验不错，座位宽敞，全程很舒适。,积极
预约的专车太坑了，严重晚点，耽误了整个行程。,消极
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
新入手的机械键盘，显示效果细腻，生产力直接翻倍。,积极
入住了这家民宿，房间干净，前台态度很好，下次还会选择。,积极
新出的真人秀越来越难看，毫无新意，果断弃了。,消极
翻拍的电影看得我如坐针毡，广告植入生硬，浪费两小时。,消极
这家火锅店的火锅太正宗了，服务周到，下次还要带朋友来。,积极
在某多多买的家居用品，包装破损，退货流程还特别麻烦。,消极
充电宝用了半个月，设计人性化，完全值这个价，会回购的。,积极
人气奶茶太难吃了，肉很柴，价格还贵，避雷。,消极
高铁一等座体验不错，司机专业，全程很舒适。,积极
楼下烧烤摊的寿司太正宗了，分量足，下次还要带朋友来。,积极
这款手机性价比超高，包装都很满意，强烈推荐！,积极
刚看完这部国产片，反转精彩，女主角演技炸裂，强烈推荐！,积极
快递小哥态度特别好，响应及时，问题很快就解决了。,积极
那部注水剧看得我如坐针毡，剧情逻辑混乱，浪费两小时。,消极
筋膜枪用了半个月，效果很明显，完全值这个价，会回购的。,积极
在唯品会买的零食到了，物流速度超出预期，客服也很耐心。,积极
售后客服态度特别好，响应及时，问题很快就解决了。,积极
推荐牛排太难吃了，肉很柴，价格还贵，避雷。,消极
高铁一等座体验不错，座位宽敞，全程很舒适。,积极
美容仪 advertised得很好，实际画质模糊，非常失望。,消极
入住了温泉度假村，房间干净，前台态度很好，下次还会选择。,积极
筋膜枪用了半个月，续航持久，完全值这个价，会回购的。,积极
售后客服态度特别好，专业能力强，问题很快就解决了。,积极
楼下新开的店体验极差，排队两小时味道一般，绝对不会再来。,消极
在唯品会买的家居用品到了，物流速度超出预期，客服也很耐心。,积极
景区旅馆住了一晚就受不了，WiFi连不上，要求换房也不管。,消极
路由器用了三个月，App生态完善，在同价位里算是天花板了。,积极
筋膜枪用了半个月，设计人性化，完全值这个价，会回购的。,积极
新出的真人秀越来越难看，剪辑混乱，果断弃了。,消极
这部综艺越来越难看，嘉宾尬聊，果断弃了。,消极
厦门鼓浪屿太美了，空气清新，这次旅行超值，推荐给大家。,积极
现场Live版这首歌太好听了，嗓音独特，已经单曲循环一整天。,积极
快递小哥态度特别好，很有耐心，问题很快就解决了。,积极
智能手表用了一个月充不进电，售后还不给修。,消极
网红面膜质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
车管所效率低下，材料要求变来变去，等了一上午没办成。,消极
这款手机壳质量太差，用了两天就坏，完全不值这个价，踩雷了。,消极
这部烂片看得我如坐针毡，特效五毛，浪费两小时。,消极
筋膜枪 advertised得很好，实际操作复杂，非常失望。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
充电宝用了半个月，续航持久，完全值这个价，会回购的。,积极
热播韩剧更新了，选题独特，每一集都追得停不下来。,积极
这家网红店体验极差，服务员态度恶劣，绝对不会再来。,消极
那班火车太坑了，取消不通知，耽误了整个行程。,消极
政务大厅效率低下，窗口少，等了一上午没办成。,消极
高铁一等座体验不错，准点率高，全程很舒适。,积极
银行柜员效率很高，设身处地，必须给个五星好评。,积极
这款充电宝买了就后悔，App闪退，已经申请退货。,消极
人气奶茶太难吃了，甜到发腻，价格还贵，避雷。,消极
刚看完新上映的动画，反转精彩，男一号演技炸裂，强烈推荐！,积极
银行柜台态度恶劣，爱答不理，投诉无门。,消极
外卖点了日式便当，温度合适，配送也准时，好评！,积极
新入手的降噪耳机，续航持久，生产力直接翻倍。,积极
新入手的机械键盘，响应速度快，生产力直接翻倍。,积极
这款手机壳质量太差，充电发烫，完全不值这个价，踩雷了。,消极
外卖点了沙拉轻食，包装严实，配送也准时，好评！,积极
预约的专车太坑了，司机绕路，耽误了整个行程。,消极
经典翻唱这首歌太好听了，编曲高级，已经单曲循环一整天。,积极
物业效率低下，材料要求变来变去，等了一上午没办成。,消极
今天打卡了私房菜馆，招牌面值得一试，食材新鲜，体验很棒。,积极
新入手的降噪耳机，多设备切换流畅，生产力直接翻倍。,积极
充电宝用了半个月，设计人性化，完全值这个价，会回购的。,积极
厦门鼓浪屿太美了，美食众多，这次旅行超值，推荐给大家。,积极
这家快捷酒店住了一晚就受不了，WiFi连不上，要求换房也不管。,消极
银行柜员效率很高，超出预期，必须给个五星好评。,积极
医院挂号处态度恶劣， rude，投诉无门。,消极
那家民宿体验很差，宰客严重，完全不是想象的那样。,消极
这家快捷酒店住了一晚就受不了，隔音差，要求换房也不管。,消极
外卖汉堡，冷掉了，投诉也没用，差评。,消极
入住了这家民宿，房间干净，前台态度很好，下次还会选择。,积极
医院护士效率很高，沟通顺畅，必须给个五星好评。,积极
在某宝买的数码配件，实物与描述不符，退货流程还特别麻烦。,消极
招牌烤鱼太难吃了，肉很柴，价格还贵，避雷。,消极
景区旅馆住了一晚就受不了，床单有污渍，要求换房也不管。,消极
旅游大巴体验不错，沿途风景好，全程很舒适。,积极
新入手的降噪耳机，多设备切换流畅，生产力直接翻倍。,积极
人气奶茶太难吃了，肉很柴，价格还贵，避雷。,消极
这款护肤品性价比超高，质量都很满意，强烈推荐！,积极
外卖炒饭，吃完拉肚子，投诉也没用，差评。,消极
今天打卡了私房菜馆，手工包子值得一试，性价比高，体验很棒。,积极
网红路由器买了就后悔，充电慢得要死，已经申请退货。,消极
热门商圈体验很差，宰客严重，完全不是想象的那样。,消极
高铁一等座体验不错，准点率高，全程很舒适。,积极
在某东第三方买的衣服，实物与描述不符，退货流程还特别麻烦。,消极
外卖点了黄焖鸡，包装严实，配送也准时，好评！,积极
营业厅效率低下，系统故障，等了一上午没办成。,消极
无线鼠标用了三个月，功能丰富，在同价位里算是天花板了。,积极
这部烂片看得我如坐针毡，特效五毛，浪费两小时。,消极
投影仪 advertised得很好，实际画质模糊，非常失望。,消极
那部续集越来越难看，剧本痕迹太重，果断弃了。,消极
楼下新开的店体验极差，排队两小时味道一般，绝对不会再来。,消极
新入手的平板电脑，多设备切换流畅，生产力直接翻倍。,积极
新出的真人秀越来越难看，毫无新意，果断弃了。,消极
便携音箱用了三个月，连接稳定，在同价位里算是天花板了。,积极
廉价耳机质量太差，充电发烫，完全不值这个价，踩雷了。,消极
热播韩剧更新了，信息量很大，每一集都追得停不下来。,积极
无线耳机用了一个月电池鼓包，售后还不给修。,消极
旅游大巴体验不错，座位宽敞，全程很舒适。,积极
今天打卡了老字号面馆，创意甜品值得一试，性价比高，体验很棒。,积极
新入手的机械键盘，响应速度快，生产力直接翻倍。,积极
翻拍的电影看得我如坐针毡，特效五毛，浪费两小时。,消极
廉价耳机质量太差，严重掉色，完全不值这个价，踩雷了。,消极
银行柜员效率很高，超出预期，必须给个五星好评。,积极
平板电脑用了一个月屏幕出现条纹，售后还不给修。,消极
银行柜员效率很高，流程清晰，必须给个五星好评。,积极
那部注水剧看得我如坐针毡，特效五毛，浪费两小时。,消极
热门商圈体验很差，设施老旧，完全不是想象的那样。,消极
这家网红店体验极差，食材不新鲜，绝对不会再来。,消极
新开的奶茶店的牛排太正宗了，分量足，下次还要带朋友来。,积极
国产动漫更新了，信息量很大，每一集都追得停不下来。,积极
楼下烧烤摊的小龙虾太正宗了，服务周到，下次还要带朋友来。,积极
原创单曲这首歌太好听了，嗓音独特，已经单曲循环一整天。,积极
在某东第三方买的数码配件，尺寸严重偏差，退货流程还特别麻烦。,消极
蓝牙耳机用了半个月，效果很明显，完全值这个价，会回购的。,积极
热播韩剧更新了，制作精良，每一集都追得停不下来。,积极
翻拍的电影看得我如坐针毡，演员演技尴尬，浪费两小时。,消极
那个蓝牙音箱买了就后悔，App闪退，已经申请退货。,消极
这款充电宝买了就后悔，App闪退，已经申请退货。,消极
入住了这家民宿，早餐丰富，前台态度很好，下次还会选择。,积极
这款扫地机器人性价比超高，质量都很满意，强烈推荐！,积极
营业厅效率低下，窗口少，等了一上午没办成。,消极
那部纪录片更新了，制作精良，每一集都追得停不下来。,积极
新入手的4K显示器，续航持久，生产力直接翻倍。,积极
智能手表用了一个月按键失灵，售后还不给修。,消极
在某宝买的衣服，包装破损，退货流程还特别麻烦。,消极
这部综艺越来越难看，毫无新意，果断弃了。,消极
医院挂号处态度恶劣，流程繁琐，投诉无门。,消极
售后客服态度特别好，主动跟进，问题很快就解决了。,积极
人气奶茶太难吃了，甜到发腻，价格还贵，避雷。,消极
翻拍的电影看得我如坐针毡，演员演技尴尬，浪费两小时。,消极
这款手机壳质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
新入手的降噪耳机，续航持久，生产力直接翻倍。,积极
售后客服态度特别好，专业能力强，问题很快就解决了。,积极
这款手机壳质量太差，充电发烫，完全不值这个价，踩雷了。,消极
美容仪 advertised得很好，实际画质模糊，非常失望。,消极
路由器用了三个月，App生态完善，在同价位里算是天花板了。,积极
入住了温泉度假村，位置便利，前台态度很好，下次还会选择。,积极
这家网红店体验极差，上菜慢到离谱，绝对不会再来。,消极
银行柜员效率很高，设身处地，必须给个五星好评。,积极
刚看完新上映的动画，特效震撼，女主角演技炸裂，强烈推荐！,积极
筋膜枪 advertised得很好，实际画质模糊，非常失望。,消极
今天打卡了网红餐厅，手工包子值得一试，性价比高，体验很棒。,积极
新出的真人秀越来越难看，剧本痕迹太重，果断弃了。,消极
网红面膜质量太差，用了两天就坏，完全不值这个价，踩雷了。,消极
推荐牛排太难吃了，甜到发腻，价格还贵，避雷。,消极
这款充电宝买了就后悔，发热严重，已经申请退货。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
廉价耳机质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
这款显示器性价比超高，包装都很满意，强烈推荐！,积极
路由器用了三个月，功能丰富，在同价位里算是天花板了。,积极
刚看完热门网剧，配乐出色，女主角演技炸裂，强烈推荐！,积极
这家快捷酒店住了一晚就受不了，隔音差，要求换房也不管。,消极
云南大理太美了，人文气息浓，这次旅行超值，推荐给大家。,积极
新入手的机械键盘，多设备切换流畅，生产力直接翻倍。,积极
今天打卡了私房菜馆，创意甜品值得一试，上菜快，体验很棒。,积极
外卖点了黄焖鸡，味道不错，配送也准时，好评！,积极
智能手表用了三个月，做工精致，在同价位里算是天花板了。,积极
这部烂片看得我如坐针毡，特效五毛，浪费两小时。,消极
那个蓝牙音箱买了就后悔，App闪退，已经申请退货。,消极
外卖麻辣烫，漏了汤，投诉也没用，差评。,消极
那个民宿住了一晚就受不了，空调坏了，要求换房也不管。,消极
无线鼠标用了三个月，做工精致，在同价位里算是天花板了。,积极
今天打卡了深夜食堂，招牌面值得一试，性价比高，体验很棒。,积极
营业厅效率低下，没人引导，等了一上午没办成。,消极
外卖汉堡，冷掉了，投诉也没用，差评。,消极
那个蓝牙音箱买了就后悔，App闪退，已经申请退货。,消极
智能手表用了三个月，做工精致，在同价位里算是天花板了。,积极
在某宝买的数码配件，实物与描述不符，退货流程还特别麻烦。,消极
外卖麻辣烫，吃完拉肚子，投诉也没用，差评。,消极
招牌烤鱼太难吃了，又咸又油，价格还贵，避雷。,消极
这款手机壳质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
招牌烤鱼太难吃了，又咸又油，价格还贵，避雷。,消极
智能手表用了三个月，App生态完善，在同价位里算是天花板了。,积极
这次航班体验不错，座位宽敞，全程很舒适。,积极
网红面膜质量太差，味道刺鼻，完全不值这个价，踩雷了。,消极
银行柜员效率很高，沟通顺畅，必须给个五星好评。,积极
外卖点了麻辣烫，包装严实，配送也准时，好评！,积极
这部综艺越来越难看，嘉宾尬聊，果断弃了。,消极
入住了海景房，位置便利，前台态度很好，下次还会选择。,积极
新入手的机械键盘，多设备切换流畅，生产力直接翻倍。,积极
新入手的降噪耳机，显示效果细腻，生产力直接翻倍。,积极
新出的真人秀越来越难看，嘉宾尬聊，果断弃了。,消极
物业效率低下，系统故障，等了一上午没办成。,消极
智能手表用了一个月充不进电，售后还不给修。,消极
新入手的平板电脑，多设备切换流畅，生产力直接翻倍。,积极
智能手表用了一个月电池鼓包，售后还不给修。,消极
人气奶茶太难吃了，腥味重，价格还贵，避雷。,消极
廉价耳机质量太差，充电发烫，完全不值这个价，踩雷了。,消极
洗面奶用了半个月，设计人性化，完全值这个价，会回购的。,积极
筋膜枪 advertised得很好，实际操作复杂，非常失望。,消极
这家网红店体验极差，上菜慢到离谱，绝对不会再来。,消极
新开的奶茶店的火锅太正宗了，环境好，下次还要带朋友来。,积极
这家网红店体验极差，上菜慢到离谱，绝对不会再来。,消极
刚看完那部科幻大片，剧情紧凑，主演演技炸裂，强烈推荐！,积极
保温杯用了半个月，非常便携，完全值这个价，会回购的。,积极
在某多多买的衣服，尺寸严重偏差，退货流程还特别麻烦。,消极
政务大厅效率低下，系统故障，等了一上午没办成。,消极
网红路由器买了就后悔，经常断连，已经申请退货。,消极
入住了海景房，早餐丰富，前台态度很好，下次还会选择。,积极
楼下新开的店体验极差，食材不新鲜，绝对不会再来。,消极
在拼多多买的书籍到了，物流速度超出预期，客服也很耐心。,积极
招牌烤鱼太难吃了，腥味重，价格还贵，避雷。,消极
热播韩剧更新了，选题独特，每一集都追得停不下来。,积极
这款充电宝买了就后悔，充电慢得要死，已经申请退货。,消极
新入手的降噪耳机，响应速度快，生产力直接翻倍。,积极
外卖麻辣烫，吃完拉肚子，投诉也没用，差评。,消极
楼下烧烤摊的牛排太正宗了，分量足，下次还要带朋友来。,积极
新出的真人秀越来越难看，剧本痕迹太重，果断弃了。,消极
在淘宝买的书籍到了，物流速度超出预期，客服也很耐心。,积极
刚看完这部国产片，配乐出色，女主角演技炸裂，强烈推荐！,积极
这款手机壳质量太差，用了两天就坏，完全不值这个价，踩雷了。,消极
银行柜台态度恶劣，流程繁琐，投诉无门。,消极
快递小哥态度特别好，主动跟进，问题很快就解决了。,积极
那个蓝牙音箱买了就后悔，经常断连，已经申请退货。,消极
无线鼠标用了三个月，连接稳定，在同价位里算是天花板了。,积极
蓝牙耳机用了半个月，效果很明显，完全值这个价，会回购的。,积极
在某宝买的数码配件，实物与描述不符，退货流程还特别麻烦。,消极
那班火车太坑了，司机绕路，耽误了整个行程。,消极
新入手的降噪耳机，续航持久，生产力直接翻倍。,积极
网约车体验不错，座位宽敞，全程很舒适。,积极
外卖炒饭，少送了东西，投诉也没用，差评。,消极
网红面膜质量太差，用了两天就坏，完全不值这个价，踩雷了。,消极
快递驿站态度恶劣，流程繁琐，投诉无门。,消极
入住了五星酒店，早餐丰富，前台态度很好，下次还会选择。,积极
医院护士效率很高，设身处地，必须给个五星好评。,积极
路由器用了三个月，连接稳定，在同价位里算是天花板了。,积极
网红路由器买了就后悔，App闪退，已经申请退货。,消极
那班火车太坑了，座位被占，耽误了整个行程。,消极
推荐牛排太难吃了，甜到发腻，价格还贵，避雷。,消极
那个民宿住了一晚就受不了，隔音差，要求换房也不管。,消极
医院挂号处态度恶劣， rude，投诉无门。,消极
那家民宿体验很差，人山人海，完全不是想象的那样。,消极
无线耳机用了一个月屏幕出现条纹，售后还不给修。,消极
